State,Member of Congress,Name,Party,Twitter
Virginia 3rd District,U.S. Representative,"Scott, Robert C.",D,@BobbyScott
Virginia 4th District,U.S. Representative,"McEacchin, Donald",R,@Donald_McEachin
Virginia 5th District,U.S. Representative,"Good, Bob",R,@GoodForCongress
Virginia 6th District,U.S. Representative,"Cline, Ben",R,@RepBenCline
Virginia 7th District,U.S. Representative,"Spanberger, Abigail",D,@RepSpanberger
Virginia 8th District,U.S. Representative,"Beyer, Don",D,@RepDonBeyer
Virginia 9th District,U.S. Representative,"Griffith, Morgan",R,@RepMGriffith
Virginia 10th District,U.S. Representative,"Wexton, Jennifer",D,@RepWexton
Virginia 11th District,U.S. Representative,"Connolly, Gerald E. “Gerry”",D,@GerryConnolly
Virgin Islands At-Large,U.S. Representative,"Plaskett, Stacey",D,@StaceyPlaskett
Washington,U.S. Senator,"Murray, Patty",D,@PattyMurray
Washington,U.S. Senator,"Cantwell, Maria",D,@SenatorCantwell
Washington 1st District,U.S. Representative,"DelBene, Suzan",D,@RepDelBene
Washington 2nd District,U.S. Representative,"Larsen, Rick",D,@RepRickLarsen
Washington 3rd District,U.S. Representative,"Herrera Beutler, Jaime",R,@HerreraBeutler
Washington 4th District,U.S. Representative,"Newhouse, Dan",R,@RepNewhouse
Washington 5th District,U.S. Representative,"McMorris Rodgers, Cathy",R,@cathymcmorris
Washington 6th District,U.S. Representative,"Kilmer, Derek",D,@RepDerekKilmer
Washington 7th District,U.S. Representative,"Jayapal, Pramila",D,@PramilaJayapal
Washington 8th District,U.S. Representative,"Schrier, Kim",D,@RepKimSchrier
Washington 9th District,U.S. Representative,"Smith, Adam",D,@RepAdamSmith
Washington 10th District,U.S. Representative,"Strickland, Marilyn",D,@StricklandforWA
West Virginia,U.S. Senator,"Manchin, Joe",D,@Sen_JoeManchin
West Virginia,U.S. Senator,"Moore Capito, Shelley",R,@SenCapito
West Virginia 1st District,U.S. Representative,"McKinley, David",R,@RepMcKinley
West Virginia 2nd District,U.S. Representative,"Mooney, Alex",R,@RepAlexMooney
West Virginia 3rd District,U.S. Representative,"Miller, Carol",R,@RepCarolMiller
Wisconsin,U.S. Senator,"Johnson, Ron",R,@SenRonJohnson
Wisconsin,U.S. Senator,"Baldwin, Tammy",D,@SenatorBaldwin
Wisconsin 1st District,U.S. Representative,"Steil, Bryan",D,@RepBryanSteil
Wisconsin 2nd District,U.S. Representative,"Pocan, Mark",D,@repmarkpocan
Wisconsin 3rd District,U.S. Representative,"Kind, Ron",D,@RepRonKind
Wisconsin 4th District,U.S. Representative,"Moore, Gwen",D,@RepGwenMoore
Wisconsin 5th District,U.S. Representative,"Fitzgerald, Scott",R,@FitzgeraldForWI
Wisconsin 6th District,U.S. Representative,"Grothman, Glenn",R,@RepGrothman
Wisconsin 7th District,U.S. Representative,"Tiffany, Thomas",R,@TomTiffanyWI
Wisconsin 8th District,U.S. Representative,"Gallagher, Mike",R,@MikeforWI
Wyoming,U.S. Senator,"Lummis, Cynthia",R,@SenLummis
Wyoming,U.S. Senator,"Barrasso, John",R,@SenJohnBarrasso
Wyoming At-Large,U.S. Representative,"Cheney, Liz",R,@Liz_Cheney
