,name,url,cessato,gruppo,url_gruppo,sub_gruppo,sub_gruppo_url
141,colaninno matteo,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=302744&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,ITALIA VIVA,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3251,,
142,colla jari,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307640&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,LEGA - SALVINI PREMIER,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3055,,
143,colletti andrea,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=306060&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MISTO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3033,L'ALTERNATIVA C'E,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppoMisto&idlegislatura=18&shadow_gruppi_parlamentari=3033&shadow_gruppi_misti=3491&tipoVis=2#misto3491
144,colmellere angela,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307698&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,LEGA - SALVINI PREMIER,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3055,,
145,colucci alessandro,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307603&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MISTO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3033,NOI CON L'ITALIA-USEI-RINASCIMENTO ADC,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppoMisto&idlegislatura=18&shadow_gruppi_parlamentari=3033&shadow_gruppi_misti=3474&tipoVis=2#misto3474
146,comaroli silvana andreina,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=302764&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,LEGA - SALVINI PREMIER,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3055,,
147,comencini vito,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307579&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,LEGA - SALVINI PREMIER,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3055,,
148,cominardi claudio,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=305520&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
149,conte federico,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307541&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,LIBERI E UGUALI,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3070,,
150,corda emanuela,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=306031&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MISTO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3033,L'ALTERNATIVA C'E,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppoMisto&idlegislatura=18&shadow_gruppi_parlamentari=3033&shadow_gruppi_misti=3491&tipoVis=2#misto3491
151,corneli valentina,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307236&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
152,cortelazzo piergiorgio,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307580&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,FORZA ITALIA - BERLUSCONI PRESIDENTE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3053,,
153,costa enrico,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=301541&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MISTO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3033,AZIONE-+EUROPA-RADICALI ITALIANI,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppoMisto&idlegislatura=18&shadow_gruppi_parlamentari=3033&shadow_gruppi_misti=3412&tipoVis=2#misto3412
154,costanzo jessica,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307490&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MISTO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3033,non iscritto ad alcuna componente politica,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppoMisto&idlegislatura=18&shadow_gruppi_parlamentari=3033&shadow_gruppi_misti=999&tipoVis=2#misto999
155,covolo silvia,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307582&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,LEGA - SALVINI PREMIER,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3055,,
156,crippa andrea,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307639&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,LEGA - SALVINI PREMIER,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3055,,
157,crippa davide,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=306022&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
158,cristina mirella,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307460&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,FORZA ITALIA - BERLUSCONI PRESIDENTE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3053,,
159,critelli francesco,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307282&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,PARTITO DEMOCRATICO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3054,,
160,crosetto guido,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=300356&tipoAttivita=&tipoVisAtt=&tipoPersona=,2019-03-13 00:00:00,FRATELLI D'ITALIA,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3052,,
161,cubeddu sebastiano,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307440&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
162,cunial sara,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307595&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MISTO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3033,non iscritto ad alcuna componente politica,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppoMisto&idlegislatura=18&shadow_gruppi_parlamentari=3033&shadow_gruppi_misti=999&tipoVis=2#misto999
163,curro' giovanni,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307610&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
164,dadone fabiana,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=306020&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
165,daga federica,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=305773&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
166,d'alessandro camillo,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307244&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,ITALIA VIVA,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3251,,
167,dall'osso matteo,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=305967&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,FORZA ITALIA - BERLUSCONI PRESIDENTE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3053,,
168,dal moro gian pietro,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=302832&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,PARTITO DEMOCRATICO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3054,,
169,d'ambrosio giuseppe,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=305838&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MISTO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3033,non iscritto ad alcuna componente politica,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppoMisto&idlegislatura=18&shadow_gruppi_parlamentari=3033&shadow_gruppi_misti=999&tipoVis=2#misto999
170,dara andrea,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307683&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,LEGA - SALVINI PREMIER,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3055,,
171,d'arrando celeste,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307472&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
172,d'attis mauro,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307312&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,FORZA ITALIA - BERLUSCONI PRESIDENTE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3053,,
173,de angelis sara,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307432&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,LEGA - SALVINI PREMIER,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3055,,
174,de carlo luca,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307708&tipoAttivita=&tipoVisAtt=&tipoPersona=,2020-08-05 00:00:00,,,,
175,de carlo sabrina,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307380&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
176,de filippo vito,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=306663&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,PARTITO DEMOCRATICO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3054,,
177,de giorgi rosalba,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307366&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MISTO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3033,non iscritto ad alcuna componente politica,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppoMisto&idlegislatura=18&shadow_gruppi_parlamentari=3033&shadow_gruppi_misti=999&tipoVis=2#misto999
178,de girolamo carlo ugo,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307293&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MISTO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3033,CENTRO DEMOCRATICO-ITALIANI IN EUROPA,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppoMisto&idlegislatura=18&shadow_gruppi_parlamentari=3033&shadow_gruppi_misti=3411&tipoVis=2#misto3411
179,deiana paola,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307227&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
180,deidda salvatore,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307219&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,FRATELLI D'ITALIA,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3052,,
181,del barba mauro,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=306382&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,ITALIA VIVA,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3251,,
182,del basso de caro umberto,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=32910&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,PARTITO DEMOCRATICO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3054,,
183,del grosso daniele,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=306062&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
184,della frera guido,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307644&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MISTO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3033,CAMBIAMO!-POPOLO PROTAGONISTA,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppoMisto&idlegislatura=18&shadow_gruppi_parlamentari=3033&shadow_gruppi_misti=3473&tipoVis=2#misto3473
185,delmastro delle vedove andrea,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307479&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,FRATELLI D'ITALIA,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3052,,
186,del monaco antonio,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307520&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
187,de lorenzis diego,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=305848&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
188,de lorenzo rina,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307192&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,LIBERI E UGUALI,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3070,,
189,del re emanuela claudia,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307437&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
190,delrio graziano,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=306540&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,PARTITO DEMOCRATICO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3054,,
191,del sesto margherita,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307551&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
192,de luca piero,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307561&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,PARTITO DEMOCRATICO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3054,,
193,de maria andrea,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=305698&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,PARTITO DEMOCRATICO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3054,,
194,de martini guido,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307217&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,LEGA - SALVINI PREMIER,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3055,,
195,de menech roger,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=305656&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,PARTITO DEMOCRATICO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3054,,
196,de micheli paola,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=302856&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,PARTITO DEMOCRATICO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3054,,
197,d'eramo luigi,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307242&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,LEGA - SALVINI PREMIER,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3055,,
198,de toma massimiliano,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307427&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MISTO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3033,non iscritto ad alcuna componente politica,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppoMisto&idlegislatura=18&shadow_gruppi_parlamentari=3033&shadow_gruppi_misti=999&tipoVis=2#misto999
199,d'ettore felice maurizio,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307141&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,FORZA ITALIA - BERLUSCONI PRESIDENTE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3053,,
200,dieni federica,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=306120&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
201,di giorgi rosa maria,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=306383&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,PARTITO DEMOCRATICO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3054,,
202,di lauro carmen,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307210&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
