,name,url,cessato,gruppo,url_gruppo,sub_gruppo,sub_gruppo_url
31,barzotti valentina,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=308001&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
32,basini giuseppe,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=200049&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,LEGA - SALVINI PREMIER,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3055,,
33,battelli sergio,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=305715&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
34,battilocchio alessandro,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307456&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,FORZA ITALIA - BERLUSCONI PRESIDENTE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3053,,
35,bazoli alfredo,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=305547&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,PARTITO DEMOCRATICO,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3054,,
36,bazzaro alex,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307696&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,LEGA - SALVINI PREMIER,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3055,,
37,bella marco,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307429&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,MOVIMENTO 5 STELLE,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3051,,
38,bellachioma giuseppe ercole,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307240&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,LEGA - SALVINI PREMIER,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3055,,
39,bellucci maria teresa,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307426&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,FRATELLI D'ITALIA,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3052,,
40,belotti daniele,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=deputati&tipoDoc=schedaDeputato&idlegislatura=18&idPersona=307605&tipoAttivita=&tipoVisAtt=&tipoPersona=,False,LEGA - SALVINI PREMIER,https://documenti.camera.it/apps/commonServices/getDocumento.ashx?sezione=Deputati&tipoDoc=gruppo&idlegislatura=18&shadow_gruppi_parlamentari=3055,,
